-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,Encapsulin MGYP,Pfam -10,Pfam -9,Pfam -8,Pfam -7,Pfam -6,Pfam -5,Pfam -4,Pfam -3,Pfam -2,Pfam -1,Pfam 1,Pfam 2,Pfam 3,Pfam 4,Pfam 5,Pfam 6,Pfam 7,Pfam 8,Pfam 9,Pfam 10
MGYP001281579070,MGYP001473873707,MGYP001234282421,MGYP001324916216,MGYP001495532035,MGYP001331685095,MGYP001289500514,MGYP001391388592,MGYP001387217773,MGYP001438680835,,,,,,,,,,,MGYP001303440611,"['PF13353', 'PF04055']",[],['PF02463'],[],['PF00149'],[],[],"['PF04851', 'PF00271']",['PF11056'],[],[],[],[],[],[],[],[],[],[],[]
MGYP001500759604,MGYP001275048351,MGYP001314322108,MGYP001376618238,MGYP001394225741,MGYP001354955703,MGYP001424944912,MGYP001487216499,MGYP001463286085,MGYP001254736669,MGYP001327862241,MGYP001494415557,MGYP001173467941,MGYP001269635199,MGYP001391083000,MGYP001428085069,MGYP001165342049,MGYP001440272695,MGYP001247958899,MGYP001222220639,MGYP001303486732,[],[],['PF12810'],[],['PF13759'],['PF13640'],['PF19622'],[],[],[],[],[],[],[],[],[],[],"['PF20211', 'PF20211']","['PF08811', 'PF08811', 'PF02514']",[]
MGYP000279346955,MGYP001401849054,MGYP001346749700,MGYP000668617011,MGYP000633233824,MGYP001343619349,MGYP001492563429,MGYP000217452881,MGYP000067030553,MGYP000323610673,,,,,,,,,,,MGYP001304761174,['PF11360'],['PF00149'],[],[],[],"['PF16243', 'CL0350']","['PF18766', 'PF00271']",['PF11056'],[],[],[],[],[],[],[],[],[],[],[],[]
MGYP001212943520,MGYP001480372646,MGYP001328721357,MGYP001303240234,MGYP001246806294,MGYP001470252316,MGYP001332132287,MGYP001421510866,MGYP001275250423,MGYP001429638704,,,,,,,,,,,MGYP001305037262,['PF05096'],['PF08643'],['PF00923'],"['PF12848', 'PF00005', 'PF00005']","['PF01588', 'PF03147', 'PF17759', 'PF03483', 'PF03484']","['PF19833', 'PF00271', 'PF00270']",[],[],[],['PF17212'],[],[],[],[],[],[],[],[],[],[]
MGYP001243425390,MGYP001342289413,MGYP001438445834,MGYP001489884991,MGYP001311143717,MGYP001298953451,MGYP001202794424,MGYP001197374374,MGYP001247436701,MGYP001491237115,MGYP001366667517,MGYP001411355809,MGYP001202788552,MGYP001206858080,MGYP001304369584,MGYP001381568463,MGYP001263750862,MGYP001309784079,MGYP001419485075,MGYP001334169645,MGYP001305717633,[],['PF05708'],"['PF00176', 'PF16203']","['PF06041', 'PF01171']",['PF01145'],['PF00149'],[],[],[],"['PF01131', 'PF13368', 'PF01751']",[],['PF13385'],"['PF10408', 'PF04564', 'PF10408', 'PF10408', 'CL0020', 'CL0020', 'PF07510']",[],[],[],"['PF00271', 'PF00176', 'PF04851', 'PF04851', 'PF04851']","['PF00035', 'PF14622']",[],"['PF02732', 'CL0198', 'CL0198']"
,,MGYP004409331145,MGYP002843926406,MGYP001351913025,MGYP001386988962,MGYP001209699960,MGYP001385763503,MGYP001402017071,MGYP001193446233,MGYP001185324247,MGYP002843926509,MGYP001461600792,MGYP001216470954,MGYP001370866680,MGYP004407181295,MGYP001365448646,MGYP001426393461,MGYP001248980146,MGYP004409331177,MGYP001305861203,[],[],[],['PF01040'],['PF06325'],[],[],"['CL0278', 'PF20062']",['PF01977'],[],"['PF00456', 'PF17831', 'PF02780', 'PF00456']","['PF13412', 'PF01037']",['PF01176'],"['PF00534', 'CL0123']",['PF04116'],[],['PF00291'],['PF04412'],['PF01989'],[]
,,,,,,,,,,MGYP001396435527,MGYP001366870771,MGYP001332805358,MGYP001286759462,MGYP001251529777,MGYP002032224256,MGYP001235503889,MGYP003121217357,MGYP001492565476,MGYP001330312345,MGYP001307068149,[],[],[],[],[],[],[],[],[],[],[],[],[],['PF00145'],[],"['CL0291', 'CL0291']",[],[],[],[]
MGYP001497964659,MGYP001251509066,MGYP001358562094,MGYP001344957336,MGYP001187848806,MGYP001271828950,MGYP001312449782,MGYP001405897866,MGYP001392355335,MGYP001404544234,,,,,,,,,,,MGYP001307484614,"['PF02463', 'PF02463']",['PF11360'],['PF12850'],[],['PF16243'],"['PF00271', 'PF18766']",[],['PF11056'],[],[],[],[],[],[],[],[],[],[],[],[]
,,,MGYP001304555339,MGYP001160994205,MGYP001216322986,MGYP001262585697,MGYP001491420254,MGYP001269187206,MGYP001393708853,MGYP001247477361,MGYP001479048547,MGYP001250186410,MGYP002033188551,MGYP001156729605,MGYP001271891487,MGYP004085464689,MGYP001258301283,MGYP001196039896,MGYP001271889224,MGYP001318098625,[],[],[],[],['PF02617'],"['CL0016', 'PF01126']",['PF13640'],['PF00795'],[],[],[],['PF03703'],[],[],[],['CL0029'],[],[],"['CL0021', 'PF04014']",['PF10263']
MGYP001259668774,MGYP001391704054,MGYP001304350092,MGYP001331438835,MGYP001433011841,MGYP001326022453,MGYP001489867370,MGYP001164853384,MGYP001396442606,MGYP001186520680,MGYP001290812666,MGYP001439784265,,,,,,,,,MGYP001319250528,['CL0352'],[],[],[],[],[],['CL0186'],[],[],['CL0045'],[],[],[],[],[],[],[],[],[],[]
MGYP001300940786,MGYP001159460410,MGYP001308437302,MGYP001219676897,MGYP001277833774,MGYP001303023251,MGYP001290837212,MGYP001334798177,MGYP001430326429,MGYP001461470401,MGYP001221758750,MGYP001293543333,MGYP003149625468,MGYP001247495699,MGYP001193317878,MGYP001491244737,MGYP001178420303,MGYP001189253693,MGYP001379489305,MGYP001356467736,MGYP001324692383,"['PF07508', 'CL0098', 'PF00239']","['CL0041', 'CL0123']","['PF00166', 'CL0010']",[],[],[],[],[],[],[],['PF12708'],[],[],"['CL0143', 'CL0143', 'PF04616', 'CL0143']",['CL0268'],[],['CL0500'],[],[],"['CL0020', 'CL0020']"
MGYP001166232265,MGYP001189253693,MGYP004063936803,MGYP001178420303,MGYP001491244737,MGYP001193317878,MGYP001247495699,MGYP003149625468,MGYP001293543333,MGYP001221758750,MGYP001461470401,MGYP001430326429,MGYP001426263698,MGYP001290837212,MGYP001303023251,MGYP001465527862,,,,,MGYP001324692383,[],[],[],['CL0500'],[],['CL0268'],"['CL0143', 'CL0143', 'PF04616', 'CL0143']",[],[],['PF12708'],[],[],[],[],[],[],[],[],[],[]
MGYP003646096814,MGYP003646096836,MGYP003646096902,MGYP003646096920,MGYP003646096983,MGYP003646096991,MGYP003132564055,MGYP001212512384,MGYP003637378961,MGYP003637379041,MGYP003646097278,,,,,,,,,,MGYP001324846549,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
MGYP001353349557,MGYP001240667936,MGYP001498490553,MGYP001431631133,MGYP001285369445,MGYP001428010953,MGYP001188291182,MGYP001219443276,MGYP001212669908,MGYP001240668106,MGYP001403454655,MGYP001204102529,MGYP001353082116,MGYP001395064113,MGYP001441112886,MGYP001220352988,MGYP001227125983,MGYP001441641720,,,MGYP001325996437,[],[],"['PF07980', 'PF08811', 'PF08811', 'PF07980', 'PF08811', 'PF08811', 'PF07980']",[],"['CL0617', 'PF01464']",[],[],[],[],[],[],[],[],[],"['PF04865', 'PF04865', 'PF04865']",[],[],[],[],[]
MGYP001353349557,MGYP001240667936,MGYP001498490553,MGYP001431631133,MGYP001285369445,MGYP001428010953,MGYP001188291182,MGYP001219443276,MGYP001212669908,MGYP001240668106,MGYP001403454655,MGYP001204102529,MGYP001353082116,MGYP001395064113,MGYP001441112886,MGYP001220352988,MGYP001326644580,,,,MGYP001325996437,[],[],"['PF07980', 'PF08811', 'PF08811', 'PF07980', 'PF08811', 'PF08811', 'PF07980']",[],"['CL0617', 'PF01464']",[],[],[],[],[],[],[],[],[],"['PF04865', 'PF04865', 'PF04865']",[],[],[],[],[]
,,,MGYP001429557102,MGYP001220352988,MGYP001441112886,MGYP001395064113,MGYP001353082116,MGYP001204102529,MGYP001403454655,MGYP001240668106,MGYP001212669908,MGYP001219443276,MGYP001188291182,MGYP001428010953,MGYP001285369445,MGYP001431631133,MGYP001498490553,MGYP001240667936,MGYP001353349557,MGYP001325996437,[],[],[],[],[],"['PF04865', 'PF04865', 'PF04865']",[],[],[],[],[],[],[],[],[],"['CL0617', 'PF01464']",[],"['PF07980', 'PF08811', 'PF08811', 'PF07980', 'PF08811', 'PF08811', 'PF07980']",[],[]
MGYP001353349557,MGYP001240667936,MGYP001498490553,MGYP001431631133,MGYP001285369445,MGYP001428010953,MGYP001188291182,MGYP001219443276,MGYP001254221291,MGYP001240668106,MGYP001403454655,MGYP001204102529,MGYP001353082116,MGYP001395064113,MGYP001441112886,MGYP001220352988,MGYP001227125983,MGYP001425507438,MGYP001342247721,MGYP001488487412,MGYP001325996437,[],[],"['PF07980', 'PF08811', 'PF08811', 'PF07980', 'PF08811', 'PF08811', 'PF07980']",[],"['CL0617', 'PF01464']",[],[],[],[],[],[],[],[],[],"['PF04865', 'PF04865', 'PF04865']",[],[],[],[],[]
MGYP001353349557,MGYP001240667936,MGYP001178811846,MGYP001431631133,MGYP001285369445,MGYP001428010953,MGYP001188291182,MGYP001219443276,MGYP001212669908,MGYP001240668106,MGYP001403454655,MGYP001204102529,MGYP001326421786,MGYP001395064113,MGYP001441112886,MGYP001220352988,MGYP001227125983,MGYP001392802551,,,MGYP001325996437,[],[],"['PF07980', 'PF07980', 'PF08811', 'PF07980', 'PF08811', 'PF08811', 'PF08811']",[],"['CL0617', 'PF01464']",[],[],[],[],[],[],[],[],[],"['PF04865', 'PF04865', 'PF04865']",[],[],[],[],[]
MGYP001383587595,MGYP001211586510,MGYP001184497674,MGYP001463480855,MGYP001249509705,MGYP001306388045,MGYP001215649525,MGYP001459424091,MGYP001227836509,MGYP001996287958,MGYP001403897631,MGYP001417443301,MGYP001233250872,MGYP001244088283,MGYP001185852340,MGYP001211584745,MGYP001326703923,MGYP001265768947,MGYP001332123176,MGYP001267126420,MGYP001328062919,"['PF02771', 'PF00441', 'PF02770']","['PF02770', 'PF02771', 'PF00441']",['PF01192'],['PF06945'],['PF14342'],['PF12146'],['PF00924'],['PF04107'],"['PF04452', 'PF20260']",['PF01040'],"['PF00005', 'PF00664']",['PF04028'],"['CL0113', 'PF04413']",['PF02606'],['PF03279'],['PF01551'],['PF09866'],"['PF13742', 'PF02601']","['PF02844', 'PF02843', 'PF01071']",['PF01636']
MGYP000734103672,MGYP000409735865,MGYP001408722410,MGYP001476332863,MGYP004153126209,MGYP001204109867,MGYP001312460096,MGYP001441124221,MGYP004153126211,MGYP001460180853,MGYP001279960880,MGYP001493913239,MGYP001347674868,MGYP004153126213,MGYP001296215185,MGYP001160770628,MGYP001492558820,MGYP003140452503,MGYP001317877814,MGYP001419463608,MGYP001330071390,['PF18029'],"['PF14696', 'PF00903']","['PF20510', 'PF04209']","['PF01734', 'PF01734', 'PF01734']",[],[],[],['CL0123'],[],[],['CL0369'],"['CL0127', 'PF01972']",[],[],[],[],[],[],['PF13730'],[]
MGYP001419463608,MGYP001317877814,MGYP003140452503,MGYP001492558820,MGYP001160770628,MGYP001296215185,MGYP004153126213,MGYP001347674868,MGYP001493913239,MGYP001279960880,MGYP001460180853,MGYP004035883051,MGYP001441124221,MGYP001312460096,MGYP001204109867,MGYP001476332863,MGYP001408722410,MGYP000409735865,MGYP000734103672,MGYP000020513482,MGYP001330071390,[],['PF13730'],[],[],[],[],[],[],"['CL0127', 'PF01972']",['CL0369'],[],[],['CL0123'],[],[],"['PF01734', 'PF01734', 'PF01734']","['PF20510', 'PF04209']","['PF14696', 'PF00903']",['PF18029'],['PF13840']
MGYP000734103672,MGYP000524755495,MGYP001408722410,MGYP001202941564,MGYP004153126209,MGYP001204109867,MGYP001312460096,MGYP001441124221,MGYP004153126211,MGYP001460180853,MGYP001279960880,MGYP001493913239,MGYP001347674868,MGYP004153126213,MGYP001296215185,MGYP001160770628,MGYP001492558820,MGYP003140452503,MGYP001317877814,MGYP001419463608,MGYP001330071390,['PF18029'],"['PF14696', 'PF00903']","['PF20510', 'PF04209']","['PF01734', 'PF01734', 'PF01734', 'PF01734']",[],[],[],['CL0123'],[],[],['CL0369'],"['CL0127', 'PF01972']",[],[],[],[],[],[],['PF13730'],[]
MGYP001344316599,MGYP004159381131,MGYP001337543456,MGYP001170956297,MGYP001245446597,MGYP001290144176,MGYP001157412994,MGYP001485134034,MGYP001389007258,MGYP001491904111,,,,,,,,,,,MGYP001330768457,[],[],[],[],[],['PF01632'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,MGYP001416892166,MGYP001462930766,MGYP001400530065,MGYP002877735098,MGYP001414183843,MGYP001262393579,MGYP001386980743,MGYP001187891867,MGYP001416779147,MGYP001279994619,MGYP001223106979,MGYP001331577055,[],[],[],[],[],[],[],[],[],[],[],['PF11056'],"['PF00271', 'PF04851']",[],['CL0123'],[],['PF00149'],['PF02463'],"['CL0060', 'PF09116']",[]
MGYP003111409092,MGYP003111409105,MGYP003111409196,MGYP003111409208,MGYP003111409252,MGYP001160778395,MGYP001468217572,MGYP001202761943,MGYP003111409464,MGYP003124200658,MGYP001354527259,MGYP003111409688,MGYP003111409731,MGYP003111409740,MGYP003111409759,MGYP003111409882,MGYP003111409890,MGYP003111409910,MGYP003111409961,,MGYP001334209676,[],[],['PF00386'],[],[],[],[],[],[],[],[],"['CL0236', 'CL0236']","['CL0186', 'CL0186', 'CL0186', 'CL0186', 'CL0186']",[],[],[],[],[],[],[]
MGYP001208259360,MGYP001231253626,MGYP001189293709,MGYP001223152023,MGYP001373482839,MGYP001160778395,MGYP001381611678,MGYP001414113495,MGYP001284101737,MGYP003122557692,MGYP001354527259,MGYP001426303027,MGYP001363999795,MGYP001388386099,MGYP001206903866,MGYP002003707978,MGYP001393800204,MGYP001308474049,MGYP001170332638,MGYP001500740157,MGYP001334209676,['CL0004'],"['PF11578', 'CL0650', 'PF11578']","['PF00386', 'PF00386']","['CL0193', 'CL0193']",[],[],[],[],[],[],[],"['CL0236', 'CL0236']","['CL0186', 'CL0186', 'CL0186', 'CL0186', 'CL0186']",[],['PF13302'],[],[],[],"['PF08811', 'PF08811', 'CL0126', 'PF18760']",['PF00565']
MGYP001218997804,MGYP001451940835,MGYP001336830744,MGYP001420794656,MGYP001500672156,MGYP001214936623,MGYP001369329609,MGYP001955068025,MGYP003118942956,MGYP001465537535,,,,,,,,,,,MGYP001334704839,['PF00149'],[],[],[],[],"['PF07179', 'PF16243']","['PF16203', 'PF18766']",['PF11056'],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,MGYP001369408424,MGYP001308461948,MGYP001963053765,MGYP004024773805,MGYP001300342637,MGYP001331488350,MGYP001288153839,MGYP001346389837,MGYP001412746564,MGYP001160838684,MGYP001174383814,MGYP001336909355,[],[],[],[],[],[],[],[],[],[],[],[],['CL0109'],"['PF04851', 'PF00271']",[],[],['PF00149'],['PF02463'],"['PF00291', 'PF00291']",['CL0063']
,,,,,,MGYP003108416761,MGYP002026915502,MGYP001273391697,MGYP001198895100,MGYP001304627364,MGYP001477767062,MGYP001232645542,MGYP001499422023,MGYP001412774814,MGYP001179827726,MGYP003108416876,MGYP001391105694,MGYP003108416882,MGYP001328807004,MGYP001337041876,[],[],[],[],[],[],[],[],[],[],[],[],[],['CL0004'],[],[],[],[],[],[]
MGYP003108656762,MGYP003114838632,MGYP001420898699,MGYP001209625871,MGYP003118546618,MGYP003108656848,MGYP001358707896,MGYP002026915502,MGYP001273391697,MGYP001198895100,MGYP001304627364,MGYP001477767062,MGYP001232645542,MGYP001499422023,MGYP001412774814,MGYP001179827726,MGYP003108656997,,,,MGYP001337041876,[],[],[],[],[],[],[],[],[],[],[],[],[],['CL0004'],[],[],[],[],[],[]
MGYP003108656762,MGYP003114838632,MGYP001420898699,MGYP001209625871,MGYP003118546618,MGYP003108656848,MGYP001358707896,MGYP002026915502,MGYP001273391697,MGYP001198895100,MGYP001304627364,MGYP001477767062,MGYP001232645542,MGYP001499422023,MGYP001412774814,MGYP001179827726,MGYP003131026024,,,,MGYP001337041876,[],[],[],[],[],[],[],[],[],[],[],[],[],['CL0004'],[],[],[],[],[],[]
MGYP001391080917,MGYP001447960819,MGYP001422226035,MGYP001437727393,MGYP001477738970,MGYP001163551872,MGYP001424184070,MGYP001278670372,MGYP001267849050,MGYP001266493132,MGYP000750011524,MGYP001158132299,MGYP001236683763,MGYP000346029023,MGYP001197409122,MGYP001209598814,,,,,MGYP001340970904,[],[],[],[],"['CL0418', 'CL0169']",[],[],[],[],[],[],[],"['CL0339', 'PF02867', 'CL0339']",[],[],[],[],[],[],[]
,,,,MGYP003143987993,MGYP001335658249,MGYP003132307167,MGYP003131832763,MGYP003152125654,MGYP001216474076,MGYP001301799108,MGYP001269301182,MGYP001465656398,MGYP003143988358,MGYP003143988363,MGYP003143988375,MGYP001422328405,MGYP003143988474,MGYP003143988506,MGYP003143988510,MGYP001341074077,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['CL0257'],[],[],"['PF06748', 'PF06748', 'PF01471', 'PF06748']",[],['CL0193']
MGYP001360532178,MGYP001319299470,MGYP001435771233,MGYP001485854542,MGYP001202827709,MGYP001206135012,MGYP001288152007,MGYP001181153635,MGYP001420872529,MGYP001330137798,,,,,,,,,,,MGYP001341575417,"['CL0126', 'PF11775', 'PF11775']",['PF02463'],[],['PF12850'],[],['CL0123'],[],"['PF16203', 'PF04851']",['PF11056'],['PF06841'],[],[],[],[],[],[],[],[],[],[]
,,MGYP003108477960,MGYP003108477967,MGYP001449500318,MGYP000488919836,MGYP000158662470,MGYP003108478002,MGYP000111483107,MGYP001366884943,MGYP001274801448,MGYP001449498952,MGYP003108478080,MGYP003108478085,MGYP000258921583,MGYP001353561717,MGYP003108478152,MGYP003108478157,MGYP000031864429,MGYP001224626318,MGYP001342457257,[],[],[],[],[],[],"['CL0072', 'CL0072']",[],[],[],[],[],[],['CL0220'],[],[],[],[],[],[]
,,,,,,,,,MGYP001244943626,MGYP001382978788,MGYP001464336370,MGYP001289640795,MGYP001426316627,MGYP001282763498,MGYP004327593811,MGYP001415481881,MGYP001331517549,MGYP001452046250,MGYP001274637912,MGYP001342458878,[],[],[],[],[],[],[],[],[],[],[],['PF02562'],[],[],[],[],[],['CL0268'],[],['CL0287']
MGYP001192044205,MGYP001372336125,MGYP001294843098,MGYP001294981677,MGYP001187924264,MGYP001261097540,MGYP001456075535,MGYP001488620530,MGYP001198677888,MGYP001400476187,,,,,,,,,,,MGYP001342541486,['PF13759'],['PF00149'],['PF10014'],['CL0029'],[],[],[],"['PF00176', 'PF00271']",['PF11056'],"['CL0569', 'CL0569']",[],[],[],[],[],[],[],[],[],[]
,,MGYP001806768885,MGYP001269739735,MGYP001341006305,MGYP001261617196,MGYP001408596717,MGYP001238197012,MGYP001418705475,MGYP001420061641,MGYP001500906892,MGYP001296193903,MGYP001432979046,MGYP001420057245,MGYP001427676134,MGYP001445167953,MGYP001806769749,MGYP001279215492,MGYP001250392660,MGYP001806769862,MGYP001342588273,[],[],[],[],[],[],[],"['CL0202', 'CL0202']",[],['CL0324'],[],"['PF12836', 'CL0010']",[],[],[],[],"['PF13946', 'PF13946']",[],[],[]
,,,MGYP003109144233,MGYP001170628357,MGYP001219383216,MGYP001234281561,MGYP003109144437,MGYP001422534395,MGYP001464508339,MGYP001414407753,MGYP001461804907,MGYP001291170977,MGYP003109144597,MGYP001465861652,MGYP001360234149,MGYP001157084335,MGYP003109144686,MGYP003109144696,MGYP001338570791,MGYP001342632500,[],[],[],[],[],[],[],[],[],[],['PF07081'],[],[],[],[],[],['CL0123'],[],[],[]
,MGYP003133970272,MGYP003116575341,MGYP003122228338,MGYP003133970359,MGYP003111790098,MGYP003111790066,MGYP001430334884,MGYP003144198631,MGYP003110383587,MGYP003112273088,MGYP001485792340,MGYP003112273182,MGYP003117482513,MGYP003133970886,MGYP003133970891,MGYP003133970900,MGYP003111909721,MGYP003111909744,MGYP001299096663,MGYP001348337795,[],['PF03098'],[],['PF08811'],['PF01832'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['CL0029', 'CL0029']",[]
,,,,,MGYP003113816341,MGYP003117482513,MGYP003112273182,MGYP001485792340,MGYP003112273088,MGYP003110383587,MGYP003122274293,MGYP001430334884,MGYP003111790066,MGYP003111790098,MGYP003111790162,MGYP003147147818,MGYP003116575341,MGYP003133395207,MGYP003111810748,MGYP001348337795,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['PF01832', 'CL0037']",['PF08811'],[],"['PF08811', 'PF08811', 'PF08811']",[]
MGYP001310239836,MGYP001291286964,MGYP001345456005,MGYP001327852460,MGYP004279003153,MGYP001188352711,MGYP001432131263,MGYP001382021861,MGYP001429424755,MGYP001483574633,MGYP001315661023,MGYP001211375338,MGYP001383375880,MGYP001417229595,MGYP001364408696,MGYP001346809425,MGYP001159908877,MGYP004279003927,MGYP004279003953,MGYP001304821748,MGYP001350874014,[],[],[],[],[],[],[],[],[],['CL0004'],[],[],[],"['PF00166', 'PF00166']",[],[],[],[],[],[]
,,,,,,,,,MGYP003132399478,MGYP001324660375,MGYP003132024574,MGYP001239499803,MGYP001473782695,MGYP003132399697,MGYP001311276273,MGYP001166360641,MGYP001473783366,MGYP003132399806,MGYP001480622728,MGYP001353263834,[],[],[],[],[],[],[],[],[],[],[],[],[],['PF11367'],[],[],[],['PF20155'],[],[]
MGYP001418316045,MGYP001159636290,MGYP001446619343,MGYP001163700284,MGYP001494131413,MGYP001450818777,MGYP001364143889,MGYP001445399046,MGYP001454741038,MGYP001471122002,MGYP004355796653,MGYP001323518656,MGYP001308616240,MGYP001328932888,MGYP001472474449,MGYP001487362150,MGYP001480596479,MGYP001487360563,MGYP001361430185,MGYP001234123839,MGYP001353314205,[],[],[],"['PF15892', 'CL0159']",['PF12810'],[],[],['PF13759'],[],[],['CL0045'],[],['CL0236'],[],[],[],[],[],[],['CL0352']
MGYP001166875373,MGYP001277938442,MGYP001438429447,MGYP001346574872,MGYP001420142834,MGYP003112409633,MGYP001441139002,MGYP003112409751,MGYP003112409765,MGYP003112409803,MGYP003112410060,MGYP001494167857,MGYP003112410189,MGYP001481987825,MGYP001483554123,MGYP001181779816,MGYP003112410390,MGYP003112410399,MGYP001353347731,MGYP003112410527,MGYP001353350287,[],['CL0643'],['CL0167'],['CL0643'],[],[],[],[],[],[],[],[],[],['PF00166'],[],[],[],[],[],['PF00856']
MGYP001172977067,MGYP001384279215,MGYP001300448462,MGYP001298934675,MGYP001365447057,MGYP001303155488,MGYP001170267566,MGYP001471074786,MGYP001473786493,MGYP001219019850,MGYP001441135659,MGYP001446550847,MGYP001433166862,MGYP001385767042,MGYP001315338536,,,,,,MGYP001354459675,[],[],[],[],['PF12810'],[],[],[],['CL0209'],[],[],[],[],[],['PF01464'],[],[],[],[],[]
MGYP003110319045,MGYP003110318964,MGYP003110318944,MGYP003110318932,MGYP003110318914,MGYP003110318907,MGYP001300538037,MGYP001404590802,MGYP001174352204,MGYP001427863950,MGYP001197606283,MGYP001221752429,MGYP003113001975,,,,,,,,MGYP001355835951,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
MGYP003110319045,MGYP003110318964,MGYP003110318944,MGYP003110318932,MGYP003110318914,MGYP003110318907,MGYP001300538037,MGYP001404590802,MGYP001174352204,MGYP001427863950,MGYP001197606283,MGYP001221752429,MGYP003110386037,MGYP001451987408,MGYP003110386174,MGYP001166225330,MGYP001226160612,MGYP003110386457,,,MGYP001355835951,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,MGYP001338226113,MGYP000500975765,MGYP001024457250,MGYP001437092908,MGYP001212276533,MGYP001308548894,MGYP000963464919,MGYP001391165268,MGYP001447925338,MGYP001005828843,MGYP001360014107,[],[],[],[],[],[],[],[],[],[],[],[],['PF11056'],[],"['PF18766', 'PF00271']",['PF02823'],[],['PF04820'],['PF12850'],"['PF13759', 'PF05721', 'CL0084', 'PF05721']"
MGYP001387030195,MGYP000128987752,MGYP001343690664,MGYP000081995475,MGYP000603751871,MGYP001192000839,MGYP001262444319,MGYP000365078283,MGYP001323376756,MGYP000730721351,MGYP001181169363,MGYP001196067307,MGYP001221798331,MGYP001493991619,,,,,,,MGYP001361294567,[],[],[],['PF03703'],[],"['PF00226', 'PF01556']","['PF17871', 'PF10431', 'PF02861', 'PF02861', 'PF07724', 'PF00004']",[],[],['PF02700'],"['CL0032', 'PF02675']",['PF16363'],"['PF00984', 'PF02737']",[],[],[],[],[],[],[]
MGYP001433217653,MGYP001353312853,MGYP001476538000,MGYP004360698579,MGYP001299140070,MGYP001223130384,MGYP002033277247,MGYP001173183385,MGYP001376170795,MGYP001377689001,MGYP001449462058,MGYP001305742571,MGYP001495483874,MGYP004359578353,MGYP001223126515,MGYP001246156268,MGYP001177080815,MGYP001389875249,MGYP001483302456,MGYP001204332167,MGYP001361433595,[],['PF13640'],[],[],[],[],['PF00166'],[],[],[],[],[],['PF01632'],[],[],[],[],[],[],[]
,,,,,,,,MGYP001499848810,MGYP001240799661,MGYP001247974471,MGYP001261204987,MGYP001458736159,MGYP000113327749,MGYP001171598603,MGYP001357167498,MGYP001242335273,MGYP001177148737,MGYP001285395340,MGYP001389956351,MGYP001365287079,[],[],[],[],[],[],[],[],['PF00275'],"['PF03446', 'PF20463']",['PF00266'],"['PF03989', 'PF00521']",['PF02233'],['PF12769'],"['PF01262', 'PF05222']",['PF02353'],['PF13419'],['PF13561'],['PF00730'],"['PF00849', 'PF01479']"
MGYP001227143131,MGYP001365284518,MGYP001442485427,MGYP001179742942,MGYP001446710824,MGYP001338369249,MGYP001263888215,MGYP001435732009,MGYP001481740113,MGYP001240687682,MGYP001497982710,MGYP001303225025,MGYP001385762971,MGYP001463026951,MGYP001308639458,MGYP001494152913,,,,,MGYP001369583139,[],[],[],[],[],[],['CL0186'],[],[],[],[],[],[],"['PF13742', 'PF02601']",['PF00216'],"['PF01476', 'PF01476', 'PF01476', 'PF01464']",[],[],[],[]
,,,,,,,MGYP003132699119,MGYP001160789071,MGYP001435041296,MGYP001416758431,MGYP001267114236,MGYP001420821760,MGYP001172980717,MGYP001483554123,MGYP001181779816,MGYP001385610393,MGYP001490106510,MGYP001353347731,MGYP001424204137,MGYP001370031873,[],[],[],[],[],[],[],[],[],[],[],[],[],['PF00166'],[],[],[],[],[],['PF01632']
MGYP001166875373,MGYP001277938442,MGYP001438429447,MGYP003147059860,MGYP001420142834,MGYP001203449024,MGYP001441139002,MGYP003147059964,MGYP001160789071,MGYP001435041296,MGYP001416758431,MGYP001267114236,MGYP001420821760,MGYP001172980717,MGYP001483554123,MGYP001181779816,MGYP001385610393,MGYP001490106510,MGYP001353347731,MGYP001424204137,MGYP001370031873,[],['CL0643'],['CL0167'],"['CL0643', 'CL0236']",[],[],[],[],[],[],[],[],[],['PF00166'],[],[],[],[],[],['PF01632']
MGYP001424204137,MGYP001353347731,MGYP001490106510,MGYP001385610393,MGYP001181779816,MGYP001483554123,MGYP001172980717,MGYP001420821760,MGYP001267114236,MGYP001416758431,MGYP001435041296,MGYP001160789071,MGYP001309088318,MGYP001441139002,MGYP001203449024,MGYP001420142834,MGYP001346574872,MGYP001438429447,MGYP001277938442,MGYP001166875373,MGYP001370031873,['PF01632'],[],[],[],[],[],['PF00166'],[],[],[],[],[],[],[],[],[],['CL0643'],['CL0167'],['CL0643'],[]
